table,state,period,horizon,n_q1,n_q5,mean_q1,mean_q5,med_q1,med_q5,win_q1,win_q5,mae_q1,mae_q5,spread,tstat,pval,ci_lo,ci_hi,v_n,v_mean,v_median,v_std,v_min,v_max,v_p20,v_p80
event,ratio_rv5_rv20_pct,ALL,20,557,532,0.01576054647102504,0.010965712293297592,0.01031746031746028,0.005593833489344391,0.585278276481149,0.5545112781954887,-0.023426518819303466,-0.027290364845797277,0.004794834177727447,1.2513889075510767,0.211067743864233,-0.002697785523359195,0.012309458233639162,,,,,,,,
event,rv20_1d_change_pct,2010-2017,1,312,313,-0.00028992283889525325,4.8193397830882784e-05,0.0004031507758712749,0.0004718464926078969,0.5288461538461539,0.5303514376996805,-0.004058847623453599,-0.0034920051461128088,-0.00033811623672613605,-0.43201071306107414,0.6658839910076839,-0.0018818142540012429,0.0010982993105825604,,,,,,,,
event,rv20_1d_change_pct,2010-2017,5,292,297,0.00014356766968505938,-0.0004015092958561507,0.0017193847759132685,0.0007812499999999556,0.5445205479452054,0.5151515151515151,-0.010762899017156213,-0.011872845653006614,0.00054507696554121,0.2721661102750257,0.7855968042702982,-0.0033292158587695277,0.004428821085238748,,,,,,,,
event,rv20_1d_change_pct,2010-2017,20,222,212,-0.0001593814178618562,0.004298690461976541,0.0042887869491959885,0.0075566879786861385,0.5315315315315315,0.5566037735849056,-0.024936079119550814,-0.024516932462562535,-0.0044580718798383975,-1.0495341339630435,0.29452471533088,-0.012719915181475451,0.00375752221776988,,,,,,,,
event,rv20_1d_change_pct,2018-2024,1,321,338,-0.0001847271488851029,0.0008214946590902602,-0.00015479876160995332,0.0008193778589693501,0.4953271028037383,0.5414201183431953,-0.005934718100890191,-0.004462215319622709,-0.0010062218079753631,-0.8988675647787815,0.36908002542459456,-0.0030544530043854394,0.0011176609882102685,,,,,,,,
event,rv20_1d_change_pct,2018-2024,5,302,314,0.0006133067880566442,0.0028661127618342416,0.0019224206621341056,0.0022301736901142455,0.543046357615894,0.5318471337579618,-0.013898244850648889,-0.013722424503419595,-0.0022528059737775973,-0.9350179897591058,0.3501639464820238,-0.006855465771617784,0.0022529287426209937,,,,,,,,
event,rv20_1d_change_pct,2018-2024,20,228,232,0.001887599707166494,0.008104438501424869,-0.0036363603271067357,0.0008285258394787887,0.4649122807017544,0.5043103448275862,-0.030331362643115478,-0.029607047234157413,-0.006216838794258375,-1.200116103001621,0.23073241272985712,-0.016385066061500874,0.003767602434733374,,,,,,,,
event,rv20_1d_change_pct,2025-,1,70,85,-0.00011476948075490442,0.0034612671445164887,0.006041182000002698,0.00228745711017897,0.6428571428571429,0.5764705882352941,-0.004169503795034779,-0.00795885882208891,-0.003576036625271393,-0.6558506284697097,0.5130487588218117,-0.014418180321812772,0.007089254890897983,,,,,,,,
event,rv20_1d_change_pct,2025-,5,65,74,0.013803305023900975,0.02019414457728672,0.018209767056875936,0.027099120642608,0.6615384615384615,0.6621621621621622,-0.012226769138636628,-0.01984701480851575,-0.006390839553385744,-0.6090351994955674,0.5436225610924685,-0.026717340078464095,0.013799486462143903,,,,,,,,
event,rv20_1d_change_pct,2025-,20,52,52,0.098429847761476,0.06370326928937074,0.045509767415239155,0.04532365599820842,0.75,0.7115384615384616,-0.02006996868660138,-0.03082150066465117,0.03472657847210525,1.2262066105895548,0.22319115186056535,-0.01953347259110139,0.08689843687013188,,,,,,,,
event,rv20_1d_change_pct,ALL,1,703,736,-0.00022444837009997208,0.0007974965157302661,0.0006062443164596143,0.000779887937576107,0.5248933143669986,0.5407608695652174,-0.004773269689737347,-0.00424759217258025,-0.001021944885830238,-1.2149392946716282,0.22458887339165667,-0.002676987413885913,0.0005784884787579696,,,,,,,,
event,rv20_1d_change_pct,ALL,5,659,685,0.001706153620781043,0.0033212815256436386,0.002727856225930525,0.002580645161290196,0.5553869499241275,0.5386861313868613,-0.012233009708737863,-0.013495276653171517,-0.0016151279048625955,-0.9036286843197588,0.3663554578289259,-0.005216416712610129,0.001974840920203713,,,,,,,,
event,rv20_1d_change_pct,ALL,20,502,496,0.010982753271046574,0.012306697809106601,0.00392277869700175,0.007147984302682042,0.5239043824701195,0.5483870967741935,-0.02894237554118667,-0.026930759417542638,-0.0013239445380600276,-0.2957369718050471,0.76749329886031,-0.009924007562738363,0.007610164179896197,,,,,,,,
event,rv20_expanding_pct,2010-2017,1,644,179,-0.0001430636514285876,0.0009056647448022295,0.0,0.0017927572606668551,0.4922360248447205,0.553072625698324,-0.003442558247762517,-0.0072901478858571345,-0.0010487283962308171,-0.7292352235306926,0.46674211776031976,-0.0039033771353921345,0.0017496342575038686,,,,,,,,
event,rv20_expanding_pct,2010-2017,5,603,158,-0.00022135679423267217,0.0053105500268278,0.0007643798968088866,0.007197989768643165,0.5190713101160862,0.5949367088607594,-0.009482418016594218,-0.019004431416791534,-0.005531906821060473,-1.774988147783126,0.07764956019149095,-0.011473797614287445,0.0002537403563324179,,,,,,,,
event,rv20_expanding_pct,2010-2017,20,460,96,-9.19490300922585e-05,0.03347473432572274,0.00166976088170534,0.03605842639057322,0.5130434782608696,0.7916666666666666,-0.022512841296474184,-0.03128350868201446,-0.033566683355814995,-6.039164503779334,2.0684715621204214e-08,-0.04435547227072179,-0.022706936996247287,,,,,,,,
event,rv20_expanding_pct,2018-2024,1,77,468,-0.0013320394966139734,0.0009952573569563428,0.0004393673110720808,0.0014860871571221734,0.5194805194805194,0.5555555555555556,-0.003979986354332499,-0.006421996350566117,-0.0023272968535703164,-1.873385777417908,0.06246945196232321,-0.004669593386480151,-1.729160944658622e-05,,,,,,,,
event,rv20_expanding_pct,2018-2024,5,74,432,-0.003136475333690433,0.006195881114464179,-0.0036660544524451666,0.005558842166693445,0.3783783783783784,0.5833333333333334,-0.01457095214489551,-0.014656695432054612,-0.009332356448154612,-3.3696182698231407,0.0009606381431507312,-0.014659469610425606,-0.004147923505062291,,,,,,,,
event,rv20_expanding_pct,2018-2024,20,55,286,-0.019990098363304686,0.027822754467376573,-0.004567814476458154,0.029034532690077275,0.36363636363636365,0.6713286713286714,-0.03164357682619656,-0.02118738239158474,-0.04781285283068126,-7.211833397318898,1.3332691729600063e-10,-0.06076207869571568,-0.03488748765794607,,,,,,,,
event,rv20_expanding_pct,2025-,1,0,261,,,,,,,,,,,,,,,,,,,,,
event,rv20_expanding_pct,2025-,5,0,245,,,,,,,,,,,,,,,,,,,,,
event,rv20_expanding_pct,2025-,20,0,184,,,,,,,,,,,,,,,,,,,,,
event,rv20_expanding_pct,ALL,1,721,908,-0.00027004165431246375,0.0018284217539828776,0.0,0.0023434886030798685,0.49514563106796117,0.5748898678414097,-0.003455557688615718,-0.006679116679136343,-0.002098463408295341,-2.483018414589664,0.013173498897947602,-0.0037840041812617392,-0.0004699200863697009,,,,,,,,
event,rv20_expanding_pct,ALL,5,677,835,-0.0005399960437450419,0.009391950708573994,0.00037397157816010385,0.008827586206896498,0.5036927621861153,0.6047904191616766,-0.009937646141855105,-0.01634026192478666,-0.009931946752319036,-5.708593517086579,1.4614594702236478e-08,-0.01335441607851455,-0.006634423024791639,,,,,,,,
event,rv20_expanding_pct,ALL,20,515,566,-0.002216994104513003,0.04693376249896129,0.0,0.03820840361597444,0.4970873786407767,0.7208480565371025,-0.024610336341263306,-0.02188749440369747,-0.049150756603474295,-10.517606330191727,4.0210216276420955e-24,-0.058721182281579645,-0.04008102339697987,,,,,,,,
event,rv20_rolling252_pct,2010-2017,1,452,324,-6.669387572191182e-05,0.000999016472899767,0.00020201553058374344,0.0016860399022338157,0.5022123893805309,0.5709876543209876,-0.0033256156324752983,-0.00524936522987085,-0.001065710348621679,-1.2327014055873913,0.21829888469582862,-0.0028014865523162966,0.0005482156348742237,,,,,,,,
event,rv20_rolling252_pct,2010-2017,5,419,291,0.00016211793110256412,0.0033399427855684716,0.0013703993735316722,0.004045135192676241,0.5417661097852029,0.5876288659793815,-0.009551656920077978,-0.012948793407886905,-0.0031778248544659074,-1.6256206859677185,0.1047603330568091,-0.006959883489774357,0.0006737699548882624,,,,,,,,
event,rv20_rolling252_pct,2010-2017,20,324,192,-0.003814617078719787,0.01642947387952196,-0.0013867470269492976,0.020593445876833316,0.4876543209876543,0.7135416666666666,-0.024785222913782767,-0.020187568985441717,-0.020244090958241746,-4.825068940335694,2.1930532822300774e-06,-0.02839312669480549,-0.012221624231768681,,,,,,,,
event,rv20_rolling252_pct,2018-2024,1,268,400,-0.001237570202478237,1.46943007322356e-05,-0.0008004053227559371,0.0005103831032123862,0.458955223880597,0.5225,-0.0047802063955610374,-0.006717890633156198,-0.0012522645032104725,-1.2093990943384598,0.2269545306281163,-0.0032850007721510303,0.0007408834249992564,,,,,,,,
event,rv20_rolling252_pct,2018-2024,5,252,382,-0.003484368317333929,0.0034763700276574452,-0.0036660544524451666,0.004552011994135574,0.42063492063492064,0.5863874345549738,-0.013592660459464223,-0.014528708056355866,-0.006960738344991374,-3.389184169769096,0.0007447398712812383,-0.01108641487801721,-0.002927763792337592,,,,,,,,
event,rv20_rolling252_pct,2018-2024,20,200,286,-0.01298401487104152,0.020895364584767363,-0.010745467967858746,0.016440384878783743,0.39,0.6223776223776224,-0.03347372679495836,-0.021326032205520484,-0.033879379455808885,-7.42366463014867,5.226070983792923e-13,-0.04276817068431542,-0.02550249435525188,,,,,,,,
event,rv20_rolling252_pct,2025-,1,39,205,0.0025882567411620373,0.0029760159672161963,0.00385604113110527,0.005189722647609196,0.6923076923076923,0.5951219512195122,-0.0016143911439115977,-0.008115685406522077,-0.000387759226054159,-0.11526281904743603,0.9083736402416098,-0.006486912977679003,0.005992148000442877,,,,,,,,
event,rv20_rolling252_pct,2025-,5,35,193,0.016559722497878238,0.011671200882026715,0.018885840894703687,0.018929537221286763,0.6285714285714286,0.6010362694300518,-0.009557109557109644,-0.02288165892027172,0.004888521615851522,0.6823134645353542,0.49642308515619243,-0.00933072190806198,0.01839626040306931,,,,,,,,
event,rv20_rolling252_pct,2025-,20,17,137,0.03735266699431044,0.054681176457614895,0.006147065646021854,0.05684159495818686,0.5882352941176471,0.7007299270072993,-0.03518796992481199,-0.03455182774161236,-0.017328509463304456,-0.8353414204904311,0.4074679666789521,-0.05644291707109012,0.024121031600828704,,,,,,,,
event,rv20_rolling252_pct,ALL,1,759,929,-0.00034370544556673545,0.0010114556843829267,0.0,0.0015854141894569018,0.49670619235836627,0.5554359526372443,-0.0036419398121527724,-0.006163328197226536,-0.0013551611299496623,-1.6837895535231737,0.09247011950712158,-0.0028599631991491105,0.00014945469628526074,,,,,,,,
event,rv20_rolling252_pct,ALL,5,706,866,-0.00032654832211110127,0.005256857357271045,0.0001851680622153573,0.005879107757522095,0.5028328611898017,0.5900692840646651,-0.010957017125649893,-0.01480997934433309,-0.0055834056793821465,-3.4173146293965173,0.0006521313939204457,-0.00877008182487717,-0.00247420947063533,,,,,,,,
event,rv20_rolling252_pct,ALL,20,541,615,-0.005910801421091014,0.027027405578544585,-0.003793626707132014,0.02246033381413559,0.45471349353049906,0.6682926829268293,-0.029821775189694866,-0.021863117870722593,-0.0329382069996356,-7.982171403769762,4.504443421314437e-15,-0.04110075538956844,-0.024957912507886863,,,,,,,,
