unit_key,index_names,n_etfs,etfs,first,last,class,reason
iselect주주가치성장지수,iSelect 주주가치성장 지수,1,482870 HANARO 주주가치성장코리아액티브,20240611,20251125,포함,
fnguideai반도체&인프라지수,FnGuide AI반도체&인프라 지수,1,486240 DAISHIN343 AI반도체&인프라액티브,20240618,20260921,포함,
fnguide금융지주플러스고배당지수(pr),FnGuide 금융지주플러스고배당 지수(PR),1,484880 SOL 금융지주플러스고배당,20240625,20260921,포함,
iselectai전력핵심설비지수(pricereturn),iSelect AI 전력핵심설비 지수(Price Return),1,487240 KODEX AI전력핵심설비,20240709,20260921,포함,
solactiveai인프라지수,Solactive AI인프라 지수,1,487130 KoAct AI인프라액티브,20240709,20260921,포함,
fnguide온디바이스ai지수,FnGuide 온디바이스AI 지수,1,487750 BNK 온디바이스AI,20240723,20260921,포함,
solactivek-batterynorthamericasupplychain지수,Solactive K-Battery North America Supply Chain 지수,1,488200 KOSEF K-2차전지북미공급망,20240723,20260921,포함,
solactivek-semiconductornorthamericasupplychain지수,Solactive K-Semiconductor North America Supply Chain 지수,1,488210 KOSEF K-반도체북미공급망,20240723,20260921,포함,
iselect전력설비투자지수,iSelect 전력설비투자 지수,1,491820 HANARO 전력설비투자,20240924,20260921,포함,
fnguidek-주주가치지수,FnGuide K-주주가치 지수,1,491510 파워 K-주주가치액티브,20240924,20260921,포함,
kedik방산지수(pr),KEDI K방산 지수(PR),1,490480 SOL K방산,20241002,20260921,포함,
fnguide기업가치지수(시장가격),FnGuide 기업가치 지수(시장가격),1,494330 ACE 라이프자산주주가치액티브,20241015,20260921,포함,
iselect조선top10index(pr),iSelect 조선TOP10 Index(PR),1,494670 TIGER 조선TOP10,20241022,20260921,포함,
코리아밸류업지수,코리아 밸류업 지수,11,495040 PLUS 코리아밸류업 | 495050 RISE 코리아밸류업 | 495060 TIMEFOLIO 코리아밸류업액티브 | 495230 KoAct 코리아밸류업액티브 | 495330 1Q 코리아밸류업 | 495750 HANARO 코리아밸류업 | 495850 KODEX 코리아밸류업 | 496080 TIGER 코리아밸류업 | 496090 KOSEF 코리아밸류업 | 496120 ACE 코리아밸류업 | 496130 TRUSTON 코리아밸류업액티브,20241104,20260921,포함,
코리아밸류업tr지수,코리아 밸류업 TR 지수,1,495550 SOL 코리아밸류업TR,20241104,20260921,병합,수동: 같은 지수의 배당 재투자판 → 코리아밸류업지수
fnguidesk하이닉스밸류체인지수,FnGuide SK하이닉스밸류체인 지수,1,494220 UNICORN SK하이닉스밸류체인액티브,20241107,20260921,포함,
iselectk-바이오헬스케어,iSelect K-바이오헬스케어,1,498050 HANARO 바이오코리아액티브,20241126,20260921,포함,
iselect코리아금융고배당지수,iSelect 코리아 금융 고배당 지수,1,498860 RISE 코리아금융고배당,20241210,20260921,포함,
fnguide한화그룹주지수,FnGuide 한화그룹주 지수,1,0000J0 PLUS 한화그룹주,20241224,20260921,포함,
fnguide바이오시밀러&cdmo지수,FnGuide 바이오시밀러&CDMO 지수,1,0001P0 마이티 바이오시밀러&CDMO액티브,20241224,20260921,포함,
fnguide전고체배터리&실리콘음극재지수(pr),FnGuide 전고체배터리&실리콘음극재 지수(PR),1,0005D0 SOL 전고체배터리&실리콘음극재,20250107,20260921,포함,
fnguidek-ai반도체코어테크지수,FnGuide K-AI반도체 코어테크 지수,1,0005G0 ITF K-AI반도체코어테크,20250121,20260921,포함,
fnguide화장품top3플러스지수(pr),FnGuide 화장품TOP3 플러스 지수(PR),1,0008T0 SOL 화장품TOP3플러스,20250121,20260921,포함,
dowjoneskoreadividend30지수(pricereturn),Dow Jones Korea Dividend 30 지수 (Price Return),1,0052D0 TIGER 코리아배당다우존스,20250520,20260921,포함,
