symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-XRP,2024-11-08 00:00:00,2024-11-12 00:00:00,763.5816000000001,918.3580640556667,1429927,220116519.44872522,TARGET,5
KRW-BTC,2024-11-11 00:00:00,2024-11-13 00:00:00,111495720.0,130754302.38057587,12,229649488.43262696,TARGET,3
KRW-SOL,2024-11-07 00:00:00,2024-11-17 00:00:00,257528.7,334159.3352618975,6651,507702696.5656166,TARGET,11
KRW-ADA,2024-11-16 00:00:00,2024-11-22 00:00:00,995.4975,1431.2107060033475,2138489,929173153.790519,TARGET,7
KRW-XRP,2024-11-23 00:00:00,2024-12-01 00:00:00,2040.0195,2903.178554342099,1352269,1163880964.511262,TARGET,9
KRW-XRP,2024-12-01 00:00:00,2024-12-02 00:00:00,2704.3515,3877.8862847720993,392083,458832647.2491156,TARGET,2
KRW-ADA,2024-11-23 00:00:00,2024-12-03 00:00:00,1412.706,1200.416118993001,1952746,-417099597.8595805,STOP,11
KRW-DOT,2024-11-24 00:00:00,2024-12-03 00:00:00,11885.94,10132.514762561732,139256,-245708085.83291125,STOP,10
KRW-ETH,2024-11-28 00:00:00,2024-12-03 00:00:00,5073535.5,4516131.772546979,260,-146171625.88321662,STOP,6
KRW-DOGE,2024-12-09 00:00:00,2024-12-19 00:00:00,651.3255,522.4413819530204,3588845,-464651356.33504415,STOP,11
KRW-DOGE,2025-01-05 00:00:00,2025-01-08 00:00:00,581.1904499999999,498.7301092481715,2577259,-213913272.83602023,STOP,4
KRW-ADA,2025-01-04 00:00:00,2025-01-09 00:00:00,1605.8025,1345.9170341797226,1165988,-304744169.29896355,STOP,6
KRW-ETH,2024-12-05 00:00:00,2025-01-13 00:00:00,5405701.5,4658805.266931038,540,-406041382.6843109,STOP,40
KRW-DOGE,2025-01-18 00:00:00,2025-01-20 00:00:00,608.40405,529.3522685508401,3151824,-250950305.8496971,STOP,3
KRW-SOL,2025-01-19 00:00:00,2025-01-27 00:00:00,390195.0,344676.71129430964,3931,-180376783.25061774,STOP,9
KRW-XRP,2025-01-12 00:00:00,2025-02-03 00:00:00,3853.926,3370.2874995765565,458926,-223611972.14758277,STOP,23
KRW-BTC,2024-12-12 00:00:00,2025-02-09 00:00:00,143182555.5,147505210.5,13,54305044.52100015,TIME_EXIT,60
KRW-ADA,2025-03-03 00:00:00,2025-03-03 00:00:00,1726.863,1450.4441091408482,1461334,-406261876.9082823,STOP,1
KRW-XRP,2025-04-29 00:00:00,2025-05-06 00:00:00,3304.6515,2973.8679910719848,593160,-198069629.46640372,STOP,8
KRW-ADA,2025-05-11 00:00:00,2025-05-18 00:00:00,1163.5815,1033.5489097227714,1650589,-216443642.79602742,STOP,8
KRW-XRP,2025-05-11 00:00:00,2025-05-28 00:00:00,3418.7085,3125.362385184496,561789,-166636814.0153458,STOP,18
KRW-BTC,2025-04-23 00:00:00,2025-06-21 00:00:00,133922928.0,142710609.0,18,155688556.16699982,TIME_EXIT,60
KRW-ETH,2025-07-10 00:00:00,2025-07-17 00:00:00,3752875.5,4647773.883308324,628,559358380.8112688,TARGET,8
